maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
1000,15.0,2,2.0,93,4,1.0,1.0,3050,26,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,70.0
365,10.0,2,4.0,69,4,1.0,9.0,3211,13,3,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,59.0
330,10.0,2,2.0,73,4,1.0,9.0,3211,9,3,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,59.0
365,30.0,2,3.0,345,4,2.0,1.0,3047,31,2,2.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,1,0,175.0
1125,0.0,1,3.0,272,6,2.0,1.0,3046,11,1,2.0,0.0,1.0,0,4.0,1.0,1.0,4.0,0.0,0.0,10.0,0,0,85.0
365,60.0,1,2.0,0,1,1.0,2.0,3040,0,1,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,30.0
1125,24.0,2,4.0,362,5,1.0,38.0,3173,6,1,1.0,0.0,1.0,1,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,41.0
31,30.0,1,3.0,196,3,1.0,6.0,3032,15,2,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,8.0,0,0,50.0
90,30.0,1,1.0,365,1,1.0,6.0,3032,8,4,1.0,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,35.0
200,10.0,2,2.0,306,4,1.0,12.0,2643,7,3,1.0,1.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,80.0
1125,15.0,2,4.0,351,6,2.0,1.0,3010,33,3,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,80.0
60,15.0,2,1.0,0,4,1.0,1.0,3009,35,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,68.0
7,30.0,6,7.0,317,7,3.0,5.0,3142,23,3,4.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,155.0
1125,0.0,4,3.0,325,4,3.0,1.0,2999,3,5,1.0,0.0,1.0,0,2.0,1.0,1.0,3.0,1.0,0.0,10.0,0,0,100.0
365,10.0,2,3.0,64,4,1.0,9.0,3211,13,3,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,59.0
365,5.0,2,3.0,299,6,2.0,1.0,2985,46,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,75.0
30,0.0,1,4.0,59,6,4.0,6.0,2983,38,2,2.0,0.0,1.0,0,4.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,111.0
1125,0.0,1,1.0,279,2,1.0,2.0,2983,14,2,1.0,0.0,0.0,1,3.0,0.0,0.0,3.0,0.0,1.0,8.0,0,0,25.0
250,10.0,2,3.0,226,5,2.0,1.0,2983,4,5,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,65.0
14,15.0,1,1.0,6,2,1.0,2.0,2983,0,2,1.5,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,100.0
100,9.0,2,3.0,127,3,1.0,9.0,2983,37,2,1.5,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,33.0
330,0.0,1,1.0,0,1,1.0,1.0,2983,0,2,2.0,0.0,1.0,1,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,35.0
365,15.0,2,2.0,299,4,1.0,1.0,2982,1,6,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,63.0
1125,9.0,2,0.0,129,4,1.0,2.0,2982,15,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,82.0
5,15.0,2,4.0,88,6,2.0,1.0,2982,65,2,1.0,0.0,0.0,1,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,22.0
400,15.0,1,1.0,273,2,1.0,1.0,2987,5,3,1.0,0.0,1.0,0,2.0,0.0,1.0,3.0,1.0,0.0,9.0,0,0,55.0
1125,20.0,2,2.0,276,3,1.0,2.0,2985,1,7,1.0,1.0,0.0,0,2.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,79.0
120,0.0,1,1.0,365,1,1.0,2.0,2978,6,2,1.0,0.0,0.0,1,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,75.0
28,30.0,2,1.0,125,2,1.0,1.0,2978,2,3,1.0,0.0,1.0,0,2.0,0.0,1.0,4.0,0.0,1.0,10.0,0,0,65.0
330,10.0,2,2.0,60,4,1.0,9.0,3211,24,3,1.0,0.0,0.0,0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,0,0,59.0
1125,15.0,3,0.0,322,3,1.0,5.0,3142,1,3,2.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,81.0
5,20.0,2,2.0,321,2,2.0,5.0,3142,1,3,1.0,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,70.0
1125,20.0,2,0.0,322,2,1.0,5.0,3142,0,3,1.5,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,70.0
360,20.0,2,4.0,302,6,3.0,2.0,2976,1,2,2.0,0.0,0.0,0,4.0,0.0,1.0,4.0,0.0,1.0,8.0,0,0,130.0
360,20.0,2,4.0,315,6,3.0,2.0,2976,1,2,2.0,0.0,0.0,0,4.0,0.0,0.0,4.0,0.0,1.0,9.0,1,0,135.0
